name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date,email,facebook,fb_name
Tower Garden Milano,landscaping,Landscape designer,Milan,Italy,"Via Privata Angiolo Maffucci, 10, 20158 Milano MI, Italy",+39 334 575 2579,4.0,10,No,2026-03-02,customercare@towergarden.com,https://www.facebook.com/towergarden,Tower Garden Verified account
London Mobile Welding,welding,Welder,London,UK,"44 Iveagh Cl, London E9 7BW, United Kingdom",+44 7985 566881,4.4,7,No,2026-03-02,quote@londonmobilewelding.co.uk,https://www.facebook.com/londonmobilewelding,London Mobile welding 
Copiere Chei Piaţa Ion Mihalache,locksmith,Key duplication service,Bucharest,Romania,"Bulevardul Ion Mihalache 58bis, 011194 București, Romania",+40 729 570 763,5.0,6,No,2026-03-02,hendric_csaba@yahoo.com,https://www.facebook.com/copiere.chei,CHEI La MINUT 
Fencing Services London,fence contractor,,London,UK,,+44 20 3797 3058,5.0,6,No,2026-03-02,andy@thefenceandpaveteam.co.uk,https://www.facebook.com/fencingservices,The Fence And Pave Team 
Solido3d - 3d Print,3d printing service,,Rome,Italy,"Via del Mandrione, 103, 00181 Roma RM, Italy",+39 06 3265 1395,4.5,6,No,2026-03-02,info@solido3d.it,https://www.facebook.com/solido3d,Solido3d 
Alaska Servicii,appliance repair,Air conditioning repair service,Bucharest,Romania,"Strada Moroeni nr44, 023032 București, Romania",+40 766 753 441,5.0,5,No,2026-03-02,speteanustefan08@gmail.com,https://www.facebook.com/alaskaservicii,Alaska Servicii 
Truhlářství Michal Kokeš,carpenter,Cabinet maker,Prague,Czech Republic,"V Jirchářích 147/3, 110 00 Nové Město, Czechia",+420 732 894 572,4.8,5,No,2026-03-02,m.vasicek@seznam.cz,https://www.facebook.com/truhlarstvimichal,Truhlářství a montáž suchých staveb - Michal Vašíček 
Fronius Deutschland GmbH,welding,Welding supply store,Berlin,Germany,"Plauener Str. 163, 13053 Berlin, Germany",+49 30 5577450,5.0,4,No,2026-03-02,socialmedia.germany@fronius.de,https://www.facebook.com/froniusdeutschland,Fronius Deutschland 
Auto Boom Car Wash,car wash,Car wash,Lisbon,Portugal,"R. Passos Manuel 100 D, 1150-260 Lisboa, Portugal",+351 920 482 919,5.0,3,No,2026-03-02,crosslinecreations@gmail.com,https://www.facebook.com/autoboomcarwash,Auto Boom Car Wash 
Impression 3D by Fize,3d printing service,,Paris,France,"63 bis Rue Ramey, 75018 Paris, France",+33 6 44 95 01 00,5.0,3,No,2026-03-02,commercial@impression-3d.com,https://www.facebook.com/impression3d,Impression 3d 
Berlin Plumbing & Heating Solutions,plumber,Plumber,Berlin,Germany,"Schönleinstraße 18, 10967 Berlin, Germany",+49 1573 5991648,5.0,3,No,2026-03-02,jimpiccoli@berlinplumbinginc.com,https://www.facebook.com/berlinplumbing,Berlin Plumbing & Piping 
Desfundări Țevi București – NON-STOP,plumber,,Bucharest,Romania,,+40 771 419 174,5.0,3,No,2026-03-02,contact@desfundari-tevi.com,https://www.facebook.com/desfundaritevi,Desfundări Ţevi şi Canalizări 
Stockholms Tapetserarverkstad,upholstery,Upholstery shop,Stockholm,Sweden,"Svandammsvägen 8, 126 34 Hägersten, Sweden",,5.0,3,No,2026-03-02,info@stockholmstapetserarverkstad.se,https://www.facebook.com/stockholmstapetserarverkstad,Stockholms Tapetserarverkstad 
Topcespedartificialgrass,landscaping,Lawn care service,Madrid,Spain,"C. del Oso, 12, PLANTA 1, Puerta B, Centro, 28012 Madrid, Spain",+34 604 35 50 16,5.0,3,No,2026-03-02,sales@topcespedartificialgrass.com,https://www.facebook.com/topcespedartificialgrass,Topcespedartificialgrass 
CarpetCleaners - Čištění koberců a sedaček,carpet cleaning,Carpet cleaning service,Prague,Czech Republic,"Klimentská 1215, 110 00 Petrská čtvrť, Czechia",,5.0,3,No,2026-03-02,dan@cleanituk.com,https://www.facebook.com/carpetcleaners,Clean It UK 
Luxury Windows Cleaning Limpia Cristales Barcelona,window cleaning,,Barcelona,Spain,,+34 612 56 47 69,5.0,3,No,2026-03-02,luxurywindows1@gmail.com,https://www.facebook.com/luxurywindows,Luxury Home Improvements Ltd 
Limpieza Xtrema | Empresa de limpieza en Barcelona,gutter cleaning,Gutter cleaning service,Barcelona,Spain,"Carrer de Mallorca, 56, Eixample, 08029 Barcelona, Spain",+34 661 76 43 29,5.0,3,No,2026-03-02,limpiezax@gmail.com,https://www.facebook.com/limpiezaxtrema,Limpieza EXtrema 
Studio Fotografico Dreaming Blue,photography studio,Photography studio,Rome,Italy,"Via Licinio Murena, 39, 00175 Roma RM, Italy",+39 375 819 4522,4.7,3,No,2026-03-02,d.barasa@officine33.com,https://www.facebook.com/studiofotografico,B&Blu Studio fotografico a IVREA 
EXPERTOS EN DEMOLICIONES FUENTES,demolition contractor,Demolition contractor,Madrid,Spain,"C. Jilguero, 1, 2º, B, Carabanchel, 28025 Madrid, Spain",+34 611 32 54 53,4.3,3,No,2026-03-02,elexpertoen@gmail.com,https://www.facebook.com/expertosen,El Experto En 
L.A. Bestrating,paving contractor,Paving contractor,Amsterdam,Netherlands,"Eduard Hellendoornstraat 10, 1069 PW Amsterdam, Netherlands",+31 6 50513300,3.7,3,No,2026-03-02,labestrating@hotmail.com,https://www.facebook.com/labestrating,L.A. Bestrating 
3D Tech,3d printing service,Media company,Dublin,Ireland,"Nutgrove Ave, Churchtown, Dublin, Ireland",+353 85 720 7129,5.0,2,No,2026-03-02,info@3dtech-rd.com,https://www.facebook.com/3dtech,3D Technologies R&D 
Votre Atelier Paris - I am in Paris,carpenter,,Paris,France,,+33 6 79 21 80 53,5.0,2,No,2026-03-02,sayakaasai.art@gmail.com,https://www.facebook.com/votre.atelier,𝖵𝗈𝗍𝗋𝖾 𝖺𝗍𝖾𝗅𝗂𝖾𝗋 
ASK Sprinkler,landscaping,Lawn sprinkler system contractor,Stockholm,Sweden,"Ringvägen 80, 118 60 Stockholm, Sweden",+46 8 409 099 40,5.0,2,No,2026-03-02,info@asksprinkler.se,https://www.facebook.com/asksprinkler,ASK Sprinkler AB 
Style Bau | Orhan Zengin,paving contractor,Paving contractor,Vienna,Austria,"Geiselbergstraße 12/Stiege 2/58, 1110 Wien, Austria",+43 660 9331909,5.0,2,No,2026-03-02,office@stylebau.com,https://www.facebook.com/style.bau,Style Bau 
Ack Services,demolition contractor,Demolition contractor,Brussels,Belgium,"Rue Stroobants 48B, 1140 Evere, Belgium",+32 2 582 84 74,5.0,2,No,2026-03-02,ackservices1982@hotmail.com,https://www.facebook.com/ackservices,Aaron C. Kier Services 
Nora Reinigung,gutter cleaning,,Munich,Germany,,+49 1523 1498029,5.0,2,No,2026-03-02,norareinigungservice@gmail.com,https://www.facebook.com/norareinigung,Nora-Reinigung-Service Prishtinë 
Handymanopgaver,handyman,Handyman/Handywoman/Handyperson,Copenhagen,Denmark,"Holmbladsgade 22, 2300 København, Denmark",+45 40 74 74 44,4.5,2,No,2026-03-02,info@handymanopgaver.com,https://www.facebook.com/handymanopgaver,Handymanopgaver 
Pro3DHub,3d printing service,,Bucharest,Romania,"Strada Opanez 9, 023773 București, Romania",+40 746 298 968,5.0,1,No,2026-03-02,3dmodelinghub93@gmail.com,https://www.facebook.com/pro3dhub,3D Hub 
Villanyszerelő - Electrician (HU / EN),electrician,Electrician,Budapest,Hungary,"Budapest, Kerepesi út 32, 1148 Hungary",+36 20 231 9688,5.0,1,No,2026-03-02,cityba@gmail.com,https://www.facebook.com/villanyszerelo,Villanyszerelés 
Calzolaio,shoe repair,Shoe repair shop,Rome,Italy,"Via Vespasiano, 67, 00192 Roma RM, Italy",+39 349 679 3996,5.0,1,No,2026-03-02,maurobertoccini@gmail.com,https://www.facebook.com/calzolaio,MB CUOIO 
Habitatika,handyman,Handyman/Handywoman/Handyperson,Milan,Italy,"Viale Monte Nero, 35, 20135 Milano MI, Italy",+39 346 639 3930,5.0,1,No,2026-03-02,dan@infinityinds.com,https://www.facebook.com/habitatika,Habitátika 
QGardens,landscaping,Landscaper,Amsterdam,Netherlands,"Lepelkruisstraat 15-3, 1018 WG Amsterdam, Netherlands",,5.0,1,No,2026-03-02,qgardenspw@outlook.com,https://www.facebook.com/qgardens,Q Gardens 
Roofus GmbH,roofing contractor,Roofing contractor,Vienna,Austria,"Hütteldorfer Str. 226, 1140 Wien, Austria",+43 699 11108044,5.0,1,No,2026-03-02,office@roofus.at,https://www.facebook.com/roofusgmbh,Roofus GmbH 
Stockholm Stensättning & Uppfartsrenovering,paving contractor,,Stockholm,Sweden,"113 35 Stockholm, Sweden",,5.0,1,No,2026-03-02,stockholmstenlaggare@gmail.com,https://www.facebook.com/stockholmstensattning,Stockholm Stensattare & tradgardsarbete 
The Chair Necessities,furniture repair,,Prague,Czech Republic,,+420 704 791 077,5.0,1,No,2026-03-02,maddison.noel@hotmail.com,https://www.facebook.com/thechairnecessities,The Chair Necessities 
Shine with glory,gutter cleaning,,Lisbon,Portugal,,+351 926 925 404,5.0,1,No,2026-03-02,gloriamputu2@gmail.com,https://www.facebook.com/shinewithglory,ShineWithGlory 
Bau & Rein TZP Family,gutter cleaning,Cleaners,Vienna,Austria,"Sandleitengasse 15, 1160 Wien, Austria",+43 660 8168117,5.0,1,No,2026-03-02,info@bau-rein.de,https://www.facebook.com/baurein,Bau-Rein Rostock GmbH 
C & A Trabalhos Agro Florestais Portugal,tree service,Arborist service,Lisbon,Portugal,"Rua dos Bombeiros Voluntários nº 2, 2955-032 Pinhal Novo, Portugal",+351 967 897 570,4.0,1,No,2026-03-02,service@shop-cunda.de,https://www.facebook.com/ca,C&A Verified account
3d Delivery,3d printing service,,Stockholm,Sweden,"Jakob Westinsgatan, 112 20 Stockholm, Sweden",+46 70 734 19 49,,,No,2026-03-02,3ddelivery@sasktel.net,https://www.facebook.com/3d.delivery,3D Delivery Ltd. 
Wecreateitcph,3d printing service,,Copenhagen,Denmark,"Uplandsgade 72, 2300 København, Denmark",+45 23 98 22 00,,,No,2026-03-02,tk@kyhlsportevent.dk,https://www.facebook.com/wecreateitcph,We Create It Cph 
"HS Grafiska AB, Trycksaks konsult, digitaltryckeri Stockholm, Tryckeri Stockholm",printing service,Commercial printer,Stockholm,Sweden,"Dalagatan 70, 113 24 Stockholm, Sweden",+46 73 435 57 54,,,No,2026-03-02,info@hsgrafiska.se,https://www.facebook.com/hsgrafiska,HS Grafiska AB 
Studio62,photography studio,Photographer,Copenhagen,Denmark,"Vesterbrogade 62D, 1620 København, Denmark",+45 70 34 56 45,,,No,2026-03-02,studio62lusowko@gmail.com,https://www.facebook.com/studio62,Studio 62 Media Nowego Pokolenia 
House Painters Boston,painter,Painter,Vienna,Austria,"Neuer Markt 8C, 1010 Wien, Austria",+43 1 4315123416,,,No,2026-03-02,contact@paintzen.com,https://www.facebook.com/housepaintersboston,Paintzen (House Painters In Boston) 
New Eco Roofing Srl,roofing contractor,Roofing contractor,Milan,Italy,"Via Simone Stratico, 18, 20148 Milano MI, Italy",+39 02 4871 7189,,,No,2026-03-02,info@ecohvac.co,https://www.facebook.com/neweco,Neweco 
Landmark Fencing,fence contractor,Fence contractor,Dublin,Ireland,"Unit 11, Willow Business Park, Knockmitten Ln, Fox-And-Geese Common, Dublin 12, Ireland",+353 1 429 6865,,,No,2026-03-02,info@landmarkfencingltd.co.uk,https://www.facebook.com/landmarkfencing,Landmark Fencing Ltd 
Pool Cleaning Service Studios,pool cleaning,Pool cleaning service,London,UK,"13 Embankment Gardens, London SW3 1NY, United Kingdom",,,,No,2026-03-02,ed.goneblue@gmail.com,https://www.facebook.com/poolcleaning,Phoenix Pool Cleaning - Gone Blue 
Dry Forest Alliance,tree service,Tree service,Amsterdam,Netherlands,"Singel 202B, 1016 AA Amsterdam, Netherlands",+31 6 55713331,,,No,2026-03-02,dryforest.pe@gmail.com,https://www.facebook.com/dryforest,Dry Forest Ecolodge 
