name,search_category,google_category,city,address,phone,rating,reviews,has_website,found_date
Universal adhesive mat. Dibba-fujairah,adhesives and glue supplier,,Fujairah,Industrial Area - Dibba Industrial - Fujairah - United Arab Emirates,+971 50 276 4225,,,No,2026-03-01
Abeer Building Materials fujairah,adhesives and glue supplier,Building materials supplier,Fujairah,"GURFAH ROAD , OPPOSITE BISMI WHOLESALE - Fujairah - United Arab Emirates",+971 9 224 1262,4.1,101,No,2026-03-01
Falcon Tile Glue Factory LLC,adhesives and glue supplier,,Umm Al Quwain,Al Bootain - New Industrial Area - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 535 9226,5.0,2,No,2026-03-01
Marketing Agency UAE,advertising agency,Advertising agency,Abu Dhabi,Al Zahiyah - E14 - Abu Dhabi - United Arab Emirates,+971 52 523 0119,4.7,12,No,2026-03-01
Dar AL Bustan Graphic,advertising agency,Advertising agency,Sharjah,632 Al Arouba St - Um Altarafa - Hay Al Gharb - Sharjah - United Arab Emirates,+971 55 313 1926,4.8,10,No,2026-03-01
Moon Sign,advertising agency,Advertising agency,Ajman,Ajman Industrial 2 - Ajman - United Arab Emirates,+971 52 340 3411,4.3,28,No,2026-03-01
Lamasat Advertising,advertising agency,Advertising agency,Ras Al Khaimah,Al Muntasir Rd - Al Sell - Ras Al-Khaimah - United Arab Emirates,+971 7 227 7779,4.4,72,No,2026-03-01
Al Maha Advertising,advertising agency,Advertising agency,Ras Al Khaimah,Sheik Mohammad Bin Salem Road - Ras Al Khaimah - United Arab Emirates,+971 7 233 2304,4.1,18,No,2026-03-01
Ashweb Solution,advertising agency,Internet marketing service,Fujairah,Creative Tower - Hamad Bin Abdulla Road - Fujairah City Center - Fujairah - United Arab Emirates,+971 55 599 8784,5.0,10,No,2026-03-01
Al Khaleej Sign - خطاط الخليج,advertising agency,Advertising agency,Fujairah,Madhab - شارع محمد بن مطر - Fujairah - United Arab Emirates,+971 55 816 4020,4.6,16,No,2026-03-01
New City Advertising LLC,advertising agency,Advertising agency,Umm Al Quwain,after Nesto Al Kawthar - King Faisal Street - Building2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 804 8600,4.1,15,No,2026-03-01
Sign World Advertising,advertising agency,,Umm Al Quwain,Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 4044,4.1,25,No,2026-03-01
Al Tamayuz Advertising,advertising agency,Advertising agency,Umm Al Quwain,46 Aqba Bin Nafa Rd (Uqbah Bin Nafae Street) - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 550 0133,4.6,13,No,2026-03-01
PERFECT IMAGE ADVERTISING,advertising agency,Advertising agency,Umm Al Quwain,FHW4+4H9 - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 568 7763,5.0,1,No,2026-03-01
خطاط ماكس Sign Max,advertising agency,Advertising agency,Umm Al Quwain,Sheikh villa rd - Old industrial Area - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 807 2764,4.8,28,No,2026-03-01
PIXEL ADVERTISING,advertising agency,,Umm Al Quwain,AL HOBOB 2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 460 9543,4.2,5,No,2026-03-01
ALPHABLACKY MEDIA PRODUCTIONS,aerial photographer,Photography service,Dubai,"Burjuman, Business tower - 601, Sunset building, Burjuman business tower Al Mankhool , Burjuman , Dubai Landmark - Dubai - United Arab Emirates",+971 55 447 1506,4.6,50,No,2026-03-01
Moon Light Photography Studio Abu Dhabi,aerial photographer,Photography studio,Abu Dhabi,15 Al Wiʹalah Street - Sheikh Zayed Bin Sultan St - behind fab bank - Abu Dhabi - United Arab Emirates,+971 54 578 7325,4.9,234,No,2026-03-01
"Studio Dar al Ameer Sharjah- Events, Weddings, Products, Food Photography",aerial photographer,Photography studio,Sharjah,Building #583 - opp. Life Pharmacy - Muwaileh Commercial - Industrial Area - Sharjah - United Arab Emirates,+971 50 595 9364,4.9,265,No,2026-03-01
Al Rawahil Studio,aerial photographer,Photography studio,Sharjah,Al Nad - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 56 725 4607,4.8,216,No,2026-03-01
Al Dhiyafa Studio - Sharjah,aerial photographer,Photography studio,Sharjah,AL Jabri Building - Jamal Abdul Naser St - Al Majaz 2 - Al Majaz - Sharjah - United Arab Emirates,+971 50 208 0996,4.9,361,No,2026-03-01
Tek Studio,aerial photographer,Photography studio,Sharjah,Sheikh Saqr Bin Khalid Al Qasimi St - Al Manakh - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 6 567 3961,4.6,110,No,2026-03-01
Eiffel Studio,aerial photographer,Portrait studio,Sharjah,Industrial Area 6 - Industrial Area - Sharjah - United Arab Emirates,+971 50 549 7431,4.7,218,No,2026-03-01
Alnawar Studio,aerial photographer,Photography service,Ajman,9H8C+RJC - Al Yasmeen - Ajman - United Arab Emirates,+971 55 226 9854,4.8,61,No,2026-03-01
Al Dhiyafa Studio,aerial photographer,,Ajman,Al Nuaimia 1 - Ajman - United Arab Emirates,+971 50 502 0483,4.9,328,No,2026-03-01
Barajeel Studio,aerial photographer,,Ajman,Al Jerf 2 - Ajman - United Arab Emirates,+971 50 990 0160,4.7,37,No,2026-03-01
Alia Studio AlNakheel,aerial photographer,Photography studio,Ras Al Khaimah,Al Nakheel - Ras Al Khaimah - United Arab Emirates,+971 7 222 1742,4.5,405,No,2026-03-01
Nawras Studio,aerial photographer,Photography studio,Ras Al Khaimah,37 Sheikh Rashid Bin Saeed Al Maktoum Rd - Sheikh Saqr City - Ras Al Khaimah - United Arab Emirates,+971 7 235 2784,4.1,119,No,2026-03-01
Golden Lens Photography,aerial photographer,,Ras Al Khaimah,Sidrow - Ras Al Khaimah - United Arab Emirates,+971 7 233 0966,4.3,65,No,2026-03-01
AL SAA'H STUDIO,aerial photographer,,Ras Al Khaimah,Old Town - Ras Al Khaimah - United Arab Emirates,+971 58 132 3448,4.4,94,No,2026-03-01
Taj Studio,aerial photographer,Photography studio,Ras Al Khaimah,RX3C+8QQ - Mamourah Immigration Road - next to Al Shabab Documents - Al Mamourah - Ras Al Khaimah - United Arab Emirates,+971 50 373 5045,4.5,57,No,2026-03-01
Salah Photo Studio,aerial photographer,,Fujairah,سكمكم - Al Sharyah - 1 - Fujairah - United Arab Emirates,+971 56 640 6202,4.6,36,No,2026-03-01
Marwa studio Fujairah,aerial photographer,,Fujairah,Mohamed Bin Zayed City - Fujairah - United Arab Emirates,+971 50 369 8499,4.5,10,No,2026-03-01
STUDIO ALMAS,aerial photographer,,Fujairah,Al Ghaleelah - Fujairah - United Arab Emirates,+971 50 863 5895,4.3,39,No,2026-03-01
Shams Photography Fujairah,aerial photographer,Photography studio,Fujairah,48MH+7WV - Madab - Fujairah - United Arab Emirates,,4.5,8,No,2026-03-01
Al Reem Studio,aerial photographer,Photography service,Fujairah,48FR+3MV - Kindi Rd - Safad - Fujairah - United Arab Emirates,+971 56 230 5218,3.4,12,No,2026-03-01
AHYAN STUDIO,aerial photographer,Photography studio,Umm Al Quwain,Al Salama 1 - Al Salmah - Al Salamah 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 590 9605,4.9,366,No,2026-03-01
Photozone Studio,aerial photographer,,Umm Al Quwain,Green Belt - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 682 0866,5.0,17,No,2026-03-01
Chop House Restaurant,african restaurant,African,Dubai,K2 - Cluster K - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,+971 52 725 4297,4.6,316,No,2026-03-01
Afro Express Restaurant,african restaurant,West African,Dubai,London Hotel - 18th St - Al Sabkha Rd - Deira - Dubai - United Arab Emirates,+971 52 446 9388,4.6,65,No,2026-03-01
Africana Home Restaurant Gold Land,african restaurant,African,Dubai,Al Khor Street - 12 Al Daghaya St - behind Gold Land Building - Dubai - United Arab Emirates,+971 4 225 8899,4.2,358,No,2026-03-01
West Side African Restaurant,african restaurant,West African,Abu Dhabi,Tanker Mai Off Delma By - Behind ADDC DMC Office. Al Niqa street - Airport Rd - Abu Dhabi - United Arab Emirates,+971 54 330 2566,4.5,129,No,2026-03-01
African Dishes Restaurant,african restaurant,African,Abu Dhabi,5 شارع اللِّثام - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 52 518 4570,4.3,205,No,2026-03-01
AFRIFOOD RESTAURANT,african restaurant,African,Abu Dhabi,5 Al Miqattarah St - Al Zahiyah - E16 02 - Abu Dhabi - United Arab Emirates,+971 54 478 8594,4.3,43,No,2026-03-01
"Agashi King ""Sudanese Cuisine""",african restaurant,Swabian restaurant,Abu Dhabi,21 Ad Darah St - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,+971 2 444 5414,4.3,853,No,2026-03-01
Mega Taste African Restaurant Musaffah Abu Dhabi,african restaurant,Restaurant,Abu Dhabi,37 plot - opposite DU telecommunication mast - Musaffah - M37 - Abu Dhabi - United Arab Emirates,+971 55 574 0847,4.2,25,No,2026-03-01
Food Mountain Restaurant,african restaurant,West African,Abu Dhabi,F9QC+RQM - Al Danah - E11 - Abu Dhabi - United Arab Emirates,+971 2 309 1901,3.9,45,No,2026-03-01
AFRICAN TASTE RESTAURANT,african restaurant,Restaurant,Sharjah,al qantarah - shop no 2 - Hay Al Nahda - Sharjah - United Arab Emirates,+971 55 415 3977,4.6,28,No,2026-03-01
AL Dom African Restaurant Ajman,african restaurant,African,Sharjah,Bin omair - Al Rashidiya 1 - Ajman - United Arab Emirates,+971 50 818 8175,4.5,56,No,2026-03-01
O.G African kitchen,african restaurant,,Sharjah,Hay Al Nahda - Sharjah - United Arab Emirates,+971 52 921 4496,5.0,1,No,2026-03-01
Addis Ababa Restaurant | አዲስ አበባ ምግብ ቤት,african restaurant,Ethiopian,Fujairah,شارع (الفصيل - Al Nakheel St - Fujairah - United Arab Emirates,+971 58 189 0760,4.2,101,No,2026-03-01
Bab Al Rayan,african restaurant,Restaurant,Fujairah,48FR+3JM - Safad - Fujairah - United Arab Emirates,+971 9 222 5244,4.1,54,No,2026-03-01
Bon Appetit,african restaurant,Restaurant,Fujairah,49X4+P6Q - Al Faseel - Fujairah - United Arab Emirates,+971 9 256 5852,4.7,"1,003",No,2026-03-01
estacoza seafood,african restaurant,Seafood,Fujairah,G956+WQC - Al ʻIqqah - Fujairah - United Arab Emirates,+971 50 360 5930,4.5,"1,186",No,2026-03-01
Family Emirates Home Nursing,aged care,Home health care service,Abu Dhabi,"Office 201, University of Abu Dhabi Building, Al Nahyan Camp, POBox 39206 - Abu Dhabi - United Arab Emirates",+971 2 441 9825,5.0,2,No,2026-03-01
Prestige Home Health Care Services,aged care,Home health care service,Abu Dhabi,Naser Al Junaibi Building - Unit 403 - المَصَايِد - Abu Dhabi - United Arab Emirates,+971 2 666 1517,5.0,2,No,2026-03-01
جمعية الامارات لاصدقاء كبار المواطنين,aged care,Aged care,Sharjah,368 University City Rd - Al Darari - Mughaider Suburb - Sharjah - United Arab Emirates,+971 58 804 0820,4.8,13,No,2026-03-01
Galaxy building,aged care,Assisted living facility,Ajman,83 King Faisal St - 2 Al Nuaimia - Ajman - United Arab Emirates,,5.0,3,No,2026-03-01
Iqrar Elder Care-Ajman,aged care,,Ajman,Al Rashidiya 2 - Ajman - United Arab Emirates,+971 50 538 9276,,,No,2026-03-01
الجديد الثورة 2 العطشة,aged care,Retirement community,Ajman,9GX7+3PX - Al Rawda 2 - Ajman - United Arab Emirates,,5.0,1,No,2026-03-01
التميز للرعاية الطبية والصحة المنزلية Al Tamayuz Home Medical & Health Care,aged care,Home health care service,Ras Al Khaimah,Safeer Mall - Sheikh Saqr City - Ras Al Khaimah - United Arab Emirates,+971 55 581 3060,4.7,64,No,2026-03-01
بيت علي بن الرييل,aged care,Assisted living facility,Ras Al Khaimah,M279+CJ - Seih Al Beer - Ras Al Khaimah - United Arab Emirates,,5.0,2,No,2026-03-01
"Granada Villas, Mina al Arab",aged care,Assisted living facility,Ras Al Khaimah,36 Shammal St - Al Riffa - Ras Al Khaimah - United Arab Emirates,,5.0,1,No,2026-03-01
Premium Tobacco,aged care,Assisted living facility,Ras Al Khaimah,MQRM+Q4H - Al Jazeera Al Hamra-Qaryat Al Hamra - Ras Al Khaimah - United Arab Emirates,+971 56 390 8226,,,No,2026-03-01
Al Dar Building 46,aged care,Assisted living facility,Fujairah,585W+4GG - New - سكمكم - Fujairah - United Arab Emirates,,,,No,2026-03-01
Al naseem worker community,aged care,Assisted living facility,Umm Al Quwain,1 Street 1 - المنطقة الصناعية - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,,5.0,1,No,2026-03-01
مؤسسة الهلال الاحمر,aged care,Assisted living facility,Umm Al Quwain,GGPV+HFH - Shk. Rashid Bin Saeed Al Maktoum St. - Al Bootain - Al Butain - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 706 5700,5.0,1,No,2026-03-01
Yousef Saeed AlGhawi,aged care,Assisted living facility,Umm Al Quwain,12 Al Nokhatha St - Al Bootain - الحمرة - ٤ - Emirate of Umm Al Quwain - United Arab Emirates,,,,No,2026-03-01
HEYDAY HVAC AIR CONDITIONING COMPANY DUBAI UAE,air conditioning contractor,Air conditioning contractor,Dubai,11th St - Al Qusais Ind. First - Dubai - United Arab Emirates,+971 56 965 9756,4.9,24,No,2026-03-01
Seven Towers Construction Abudhabi,air conditioning contractor,Air conditioning repair service,Abu Dhabi,"Air Condition installation Repair and services, Abudhabi Al Mushrif (0555848686) - Abu Dhabi - United Arab Emirates",+971 55 584 8686,4.3,6,No,2026-03-01
DAR AL IETEMAD A/C & REF. REPAIRING,air conditioning contractor,Air conditioning repair service,Sharjah,"Sharjah ,Industrial Area 13 ,Abdul Aziz Building Block A - Sharjah - United Arab Emirates",+971 52 240 1512,4.9,309,No,2026-03-01
Sajid Mahmoud Air Conditioner Repair Dubai,air conditioning contractor,Air conditioning contractor,Sharjah,53 Industrial Area 3 - Industrial Area - Sharjah - United Arab Emirates,+971 50 300 3203,4.8,65,No,2026-03-01
"AL SAHEL Repair & Maintenance AC & Central Air Refining, Ltd",air conditioning contractor,Air conditioning repair service,Ajman,76 Thabit Bin Qais Street - 2 Al Nuaimia - Ajman - United Arab Emirates,+971 56 247 5707,4.9,394,No,2026-03-01
THIQA AIR CONDITIONING & REFRIGERATION,air conditioning contractor,Air conditioning contractor,Ajman,Amman Street Industrial Area 1 Al Saraj 2 Building -Shop No:5 - Ajman - United Arab Emirates,+971 56 950 3271,4.9,20,No,2026-03-01
Dubai Central AC Contracting and Fixing,air conditioning contractor,,Ajman,Al Jerf 2 - Ajman - United Arab Emirates,+971 50 787 5246,4.9,21,No,2026-03-01
Al maamoura Electro mechanical works,air conditioning contractor,Air conditioning contractor,Ras Al Khaimah,QXCF+5M9 - Al Juwais - Ras Al Khaimah - United Arab Emirates,+971 52 270 9446,4.7,18,No,2026-03-01
Dr. Cool air conditioning and refrigeration,air conditioning contractor,,Ras Al Khaimah,Al Nakheel - Ras Al Khaimah - United Arab Emirates,+971 50 301 7446,5.0,7,No,2026-03-01
AL Baraq Electrotechnical Works,air conditioning contractor,Air conditioning repair service,Ras Al Khaimah,Al Mataf Rd - Julfar - Ras Al Khaimah - United Arab Emirates,+971 55 723 8355,5.0,18,No,2026-03-01
Fujico Heating And Cooling Solutions,air conditioning contractor,HVAC contractor,Fujairah,123/8 D St - Al ‘Uwaid - Fujairah - United Arab Emirates,+971 9 224 6555,4.8,30,No,2026-03-01
Majestic electromechanical,air conditioning contractor,Air conditioning contractor,Fujairah,Unnamed Road - Fujairah - United Arab Emirates,+971 55 850 6116,4.9,16,No,2026-03-01
Al Faseel Refrigeration Co LLC SPC,air conditioning contractor,HVAC contractor,Fujairah,Salem Street - Al Mahattah - Fujairah - United Arab Emirates,+971 9 222 4603,4.0,15,No,2026-03-01
A ONE ELECTROMECHANICAL CONT,air conditioning contractor,Air conditioning contractor,Fujairah,586H+FQX - Skamkam - Fujairah - United Arab Emirates,+971 50 696 0453,4.2,11,No,2026-03-01
Hawa Electro Mechanical Contracting Fujairah Office,air conditioning contractor,,Fujairah,Fujairah - United Arab Emirates,+971 52 350 4671,5.0,2,No,2026-03-01
AKHWAN ELECTRO MECHNICAL HVAC WORKS LLC,air conditioning contractor,HVAC contractor,Umm Al Quwain,GH36+84W - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 182 6766,5.0,1,No,2026-03-01
Al Haboob Repairs. Umm Al Quwain,air conditioning contractor,Air conditioning repair service,Umm Al Quwain,Al ithad road - Al Salmah - Al Salamah 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 877 5030,4.1,21,No,2026-03-01
AL Samah A/c Units Industries LLC,air conditioning contractor,HVAC contractor,Umm Al Quwain,"EMIRATES MODERN INDUSTRIAL AREA, Back side of Emirates Mix - Emirate of Umm Al Quwain - United Arab Emirates",+971 55 972 5043,4.2,12,No,2026-03-01
AC Maintenance & Repairing Services in Dubai,air conditioning repair service,Air conditioning repair service,Dubai,"Churchill, Executive Towers - 3813 - Dubai - United Arab Emirates",+971 50 877 5343,5.0,33,No,2026-03-01
Shams ul Haq Airconditioner Maintenance,air conditioning repair service,Air conditioning repair service,Abu Dhabi,near petrol station - Musaffah - M36 - Abu Dhabi - United Arab Emirates,+971 54 543 7797,4.7,44,No,2026-03-01
Comfort Master For Air Conditioner Maintenance,air conditioning repair service,Air conditioning repair service,Abu Dhabi,"Nr. Falak Madeena Super Market - Mussafah, M -40, Sanaya - Plot 12, Shop 3 - Al Busnad 1 St - Abu Dhabi - United Arab Emirates",+971 52 789 2122,4.5,55,No,2026-03-01
Car Ac Repair Center,air conditioning repair service,Auto air conditioning service,Sharjah,Maleha St - Industrial Area 6 - Industrial Area - Sharjah - United Arab Emirates,+971 50 746 0094,4.7,590,No,2026-03-01
AL SARAB AC REPAIRING,air conditioning repair service,Air conditioning repair service,Sharjah,Street 35 - Industrial Area 10 - Industrial Area - Sharjah - United Arab Emirates,+971 50 736 5396,4.9,31,No,2026-03-01
Waseem AC repairing shop,air conditioning repair service,Air conditioning repair service,Ajman,18 Amr ibn el ass street - Ajman Industrial 2 - Ajman - United Arab Emirates,+971 50 357 6145,4.8,88,No,2026-03-01
Al Jinan Ac repairing,air conditioning repair service,HVAC contractor,Ras Al Khaimah,716 - 710 Al Muntasir Rd - Al Nakheel - Ras Al Khaimah - United Arab Emirates,+971 55 510 9580,5.0,15,No,2026-03-01
AL FIDA AC/Washing Machine/Refrigeration/Fridge Repairing,air conditioning repair service,,Ras Al Khaimah,Al Jazeera Al Hamra - Ras Al Khaimah - United Arab Emirates,+971 50 989 3185,4.6,31,No,2026-03-01
Ac maintenance MEP servies,air conditioning repair service,Air conditioning repair service,Fujairah,Al Corniche St - Al ‘Uwaid - Fujairah - United Arab Emirates,+971 50 698 2683,4.3,35,No,2026-03-01
NEW AL HAZAM TECHNICAL SERVICES FUJAIRAH UAE,air conditioning repair service,,Fujairah,Al Hail Industrial - Fujairah - United Arab Emirates,+971 50 803 3258,5.0,1,No,2026-03-01
Al Fahad AC Work - Fridge & Washing machine Sales & Service,air conditioning repair service,,Fujairah,Qrat - Fujairah - United Arab Emirates,+971 55 294 5093,4.1,32,No,2026-03-01
Al Ghous A/C Repairing,air conditioning repair service,Air conditioning repair service,Umm Al Quwain,FHXF+RGJ - Al Salmah - Al Salamah 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 896 9177,4.2,9,No,2026-03-01
AL TABREED TECHNICAL SERVICES,air conditioning repair service,,Umm Al Quwain,Al Neefah - Al Ramlah2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 919 1595,4.5,19,No,2026-03-01
تصليح جميع انواع الالكترونيات ( تكييف، ثلاجات، غسالات، جميع الالكترونيات),air conditioning repair service,Air conditioning repair service,Umm Al Quwain,ramla market - Itehad road - Al Neefah - Al Ramlah2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 58 191 8696,3.6,7,No,2026-03-01
Arshad Mehmood technical services,air conditioning repair service,Air conditioning repair service,Umm Al Quwain,Near Shk. Rashid Bin Saeed Al Maktoum St. - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 259 1891,5.0,1,No,2026-03-01
S3 SERVICES,air duct cleaning service,Air duct cleaning service,Dubai,"DIP 1, FAB Warehouse Compound - Dubai - United Arab Emirates",+971 56 863 2323,4.8,43,No,2026-03-01
HydroGulf LLC,air duct cleaning service,Air duct cleaning service,Abu Dhabi,Shop 10 - Musaffah Sector-37 - Abu Dhabi - United Arab Emirates,+971 2 626 5900,4.7,38,No,2026-03-01
BRIXTON General Maintenance,air duct cleaning service,Air duct cleaning service,Abu Dhabi,The Gate Towers - 106 Rabat St - Al Reem Island - The Gate District - Abu Dhabi - United Arab Emirates,+971 50 536 9696,4.9,100,No,2026-03-01
ClearPath Duct Cleaning,air duct cleaning service,Air duct cleaning service,Sharjah,Expo City Dubai - Mangrove Avenue - Madinat Al Mataar - Mangrove A - Dubai - United Arab Emirates,+971 54 556 5956,5.0,5,No,2026-03-01
Zenith Advanced Cleaning Solutions,air duct cleaning service,Air duct cleaning service,Ajman,AL JURF - Warehouse No.10 - Ajman - United Arab Emirates,+971 6 527 8893,5.0,1,No,2026-03-01
Al fairooz central A/C الفيروز للمكيفات,air duct cleaning service,Air duct cleaning service,Ras Al Khaimah,QWPP+5PX - Dahan road near khalifa mosque - Ras Al-Khaimah - United Arab Emirates,+971 50 647 0557,4.2,5,No,2026-03-01
Abu Sultan General Cleaning Services LLC,air duct cleaning service,Air duct cleaning service,Ras Al Khaimah,"Sheikh Mohammed Bin Salem Road, Near Clock Roundabout, Dahan - Ras Al Khaimah - United Arab Emirates",+971 50 371 0725,4.4,30,No,2026-03-01
Akbar Haji Cleaning Services LLC Fujairah,air duct cleaning service,,Fujairah,Al Hail - Fujairah - United Arab Emirates,+971 50 494 2524,4.9,17,No,2026-03-01
Al thiqa a/c repairing,air duct cleaning service,,Fujairah,Industrial Area - Dibba Industrial - Fujairah - United Arab Emirates,+971 52 736 5076,5.0,1,No,2026-03-01
Fresh look cleaning services fujairah & kalba / فريش لوك خدمات تنظيف / شركة تنظيف في كلباء / شركة تنظيف في الفجيرة,air duct cleaning service,House cleaning service,Fujairah,Unnamed Road - Al Faseel Rd(E99) - Fujairah - United Arab Emirates,+971 56 446 6744,4.9,89,No,2026-03-01
al afdal building cleaning service,air duct cleaning service,,Fujairah,سكمكم - Skamkam - Fujairah - United Arab Emirates,+971 56 967 2598,5.0,145,No,2026-03-01
Bright royal cleaning برايت رويال لخدمات التنظيف ذ.م.م,air duct cleaning service,House cleaning service,Fujairah,Al itihad road - Al Nakheel St - Al Sharyah - Fujairah - United Arab Emirates,+971 52 875 9993,4.9,29,No,2026-03-01
Explorer Duct Air Conditioning Systems Factory,air duct cleaning service,,Umm Al Quwain,Umm Al Thuoob - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 577 4438,4.7,9,No,2026-03-01
Alshan travels and tourism,airline ticket agency,,Dubai,Warsan First - Russia Cluster - Dubai - United Arab Emirates,+971 58 169 0040,4.8,77,No,2026-03-01
Namaste Travel & Tourism LLC Abu Dhabi,airline ticket agency,,Abu Dhabi,Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 2 658 8953,4.4,35,No,2026-03-01
Select My Flight,airline ticket agency,Travel agency,Sharjah,4 Rolla Mall - Khalid Bin Al Waleed St - Al Ghuwair - Hay Al Gharb - Sharjah - United Arab Emirates,+971 6 565 6569,4.2,93,No,2026-03-01
"M Travels, Travel Agency - Flight tickets م السفر مكتب سفريات",airline ticket agency,,Ajman,Al Hamidiya 1 - Ajman - United Arab Emirates,+971 54 430 4308,4.9,43,No,2026-03-01
"RT Travels And Cargo L.L.C, AJMAN",airline ticket agency,Airline ticket agency,Ajman,Sheikh Rashid Bin Humeed St - Al Rashidiya 3 - Ajman - United Arab Emirates,+971 54 265 9916,4.9,62,No,2026-03-01
Al bader travels - Ajman,airline ticket agency,Travel agency,Ajman,Near Najmat Al-khaleej - Al Zahra - Ajman - United Arab Emirates,+971 6 748 8570,4.6,174,No,2026-03-01
Miraj Travels L.L.C معراج لسفريات ذ.م.م Branch 1 فرع ١,airline ticket agency,Airline ticket agency,Ajman,CC2W+G3H - Al Quds St - Al Rashidiya 3 - Ajman - United Arab Emirates,+971 55 252 4278,5.0,79,No,2026-03-01
Al Raha Travels,airline ticket agency,,Ras Al Khaimah,Al Araibi - Ras Al-Khaimah - United Arab Emirates,+971 7 227 6225,4.7,56,No,2026-03-01
Fujairah National Air Travel Agency,airline ticket agency,Travel agency,Fujairah,Road - Al Faseel - Fujairah - United Arab Emirates,+971 9 222 2316,3.8,27,No,2026-03-01
Egypt Air GSA Flyt for Travel and Tourism Fujairah,airline ticket agency,Airline ticket agency,Fujairah,Shk Hamdan Bin Abdulla Al Sharqi Street - beside Thrifty Rent a Car - Al Ghaleelah - Fujairah - United Arab Emirates,,4.0,2,No,2026-03-01
Hala Tourism LLC,airline ticket agency,Travel agency,Fujairah,SALWA BUILDING Shop - 1 Street - Al Mahattah - Fujairah - United Arab Emirates,+971 9 277 4529,5.0,51,No,2026-03-01
Umm Al Quwain National Travel Agency,airline ticket agency,Travel agency,Umm Al Quwain,King Faisal St - Al Raas - الراس 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 765 6615,4.2,117,No,2026-03-01
Emirates Airlines GSA طيران الامارات,airline ticket agency,Travel agency,Umm Al Quwain,HG5X+3X - King Faisal St - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 6684,4.4,93,No,2026-03-01
ALSAFEENA TRAVELS & CARGO,airline ticket agency,Airline ticket agency,Umm Al Quwain,HH62+GQP - King Faisal St - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 538 7800,4.4,7,No,2026-03-01
Marhaba Travels,airline ticket agency,Travel agency,Umm Al Quwain,Hawally rd - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 58 201 9786,4.6,19,No,2026-03-01
Lulu Metro Travels and Cargo - UAQ,airline ticket agency,Airline ticket agency,Umm Al Quwain,GMVC+JX3 - Umm Al Thuoob - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 412 4007,4.7,12,No,2026-03-01
AL ARAB TRAVEL AGENCY,airline ticket agency,,Umm Al Quwain,Umm Al Thuoob - New Industrial Area - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 232 3345,4.7,11,No,2026-03-01
Ahlan Travels,airline ticket agency,Travel agency,Umm Al Quwain,New Sanayya - Umm Al Thuoob - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 978 7012,5.0,28,No,2026-03-01
Limousine Service Abu Dhabi,airport shuttle service,Limousine service,Abu Dhabi,Hamdan St - Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates,+971 55 338 8313,4.8,114,No,2026-03-01
Chauffeur Services Departure,airport shuttle service,Airport shuttle service,Abu Dhabi,CJHV+7F2 - Int'l Airport Rd - Al Matar - Zayed International Airport - Abu Dhabi - United Arab Emirates,,4.0,1,No,2026-03-01
Emirates Transport - Abu Dhabi Airport Taxi Operation,airport shuttle service,Transportation service,Abu Dhabi,"Emirates Transport Work shop, Ahalia Hospital Musaffah Building - 03 - مصفححوض 33 - Abu Dhabi - United Arab Emirates",+971 2 205 1744,3.4,25,No,2026-03-01
Click Passenger Buses Transport,airport shuttle service,Transportation service,Sharjah,2 Bishr Bin Amr St - Al Manakh - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 6 563 6102,4.6,12,No,2026-03-01
