name,search_category,google_category,city,address,phone,email,rating,reviews,has_website,found_date
Lulu Metro Travels and Cargo - UAQ,airline ticket agency,Airline ticket agency,Umm Al Quwain,GMVC+JX3 - Umm Al Thuoob - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 412 4007,info@malluaq.ae,4.7,12,No,2026-03-01
Ahlan Travels,airline ticket agency,Travel agency,Umm Al Quwain,New Sanayya - Umm Al Thuoob - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 978 7012,info@kurinjirestaurant.com,5.0,28,No,2026-03-01
Limousine Service Abu Dhabi,airport shuttle service,Limousine service,Abu Dhabi,Hamdan St - Al Zahiyah - E13 - Abu Dhabi - United Arab Emirates,+971 55 338 8313,info@joyfuljourneylimo.com,4.8,114,No,2026-03-01
Click Passenger Buses Transport,airport shuttle service,Transportation service,Sharjah,2 Bishr Bin Amr St - Al Manakh - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 6 563 6102,info@clicktransportsharjah.com,4.6,12,No,2026-03-01
Sharjah Airport The Hotel (Managed by ALPHA FLIGHT SERVICES UAE LLC),airport shuttle service,Airport,Sharjah,8GCC+P66 transit area، Sharjah International Airport's - below Duty Free Shop Area - Sharjah International Airport - Sharjah - United Arab Emirates,+971 6 539 1075,info@sharjahairport.ae,4.4,63,No,2026-03-01
Ajman Bus Stop,airport shuttle service,Bus charter,Ajman,CC2X+7VV - Al Rashidiya 1 - Ajman - United Arab Emirates,,80070@ajman.ae,4.3,145,No,2026-03-01
Al Hamra Bus Stop For RAK Airport & City,airport shuttle service,Minibus taxi service,Ras Al Khaimah,MQJJ+JHW - Al Jazeera Al Hamra - Ras Al Khaimah - United Arab Emirates,,info@rakta.gov.ae,4.2,62,No,2026-03-01
Al ghail passenger transport by. Rental buses,airport shuttle service,,Ras Al Khaimah,Old Town - Ras Al Khaimah - United Arab Emirates,+971 58 512 0900,hello@dotlimo.com,4.0,4,No,2026-03-01
Al Hamra,airport shuttle service,Bus stop,Ras Al Khaimah,bus station - Al Dhait - Ras Al Khaimah - United Arab Emirates,,info@alhamradecor.com,4.2,208,No,2026-03-01
ارقام الفجيرة,airport shuttle service,International airport,Fujairah,شارع المطار - Fujairah City Center - Fujairah - United Arab Emirates,+971 56 270 0008,info@fu.ac.ae,,,No,2026-03-01
Swat transport,airport shuttle service,Transportation service,Umm Al Quwain,GPP7+88 - Umm Dera - Emirate of Umm Al Quwain - United Arab Emirates,+971 55 886 6190,Info@swattransport.ae,3.1,8,No,2026-03-01
umm al quwain taxi service Ahmed,airport shuttle service,,Umm Al Quwain,,+971 55 438 8624,info@egtcargo.com,4.7,169,No,2026-03-01
"Bynuna Military & Hunting Equipment Trading LLC Showroom, Al Ain",airsoft supply shop,Outdoor sports store,Abu Dhabi,"Hassa Bint Muhammad St., (Near Al Hilal Bank) Al Ain City - Abu Dhabi - United Arab Emirates",+971 3 768 0300,javed@bynuna.ae,4.6,54,No,2026-03-01
البرق لتصليح الاسلحة ومستلزمات الصيد والرماية,airsoft supply shop,Hunting store,Ras Al Khaimah,QXVC+G8F - Al Nakheel - Ras Al Khaimah - United Arab Emirates,+971 50 510 1695,info@pepsidrc.ae,4.4,11,No,2026-03-01
ALFAIN SPORTS,airsoft supply shop,Sporting goods store,Ras Al Khaimah,35 Sheikh Rashid Bin Saeed Al Maktoum Rd - Sheikh Saqr City - Ras Al Khaimah - United Arab Emirates,+971 7 235 0116,info@ace-me.com,4.6,14,No,2026-03-01
هاتريك للرياضه Hattrick Sports,airsoft supply shop,Sporting goods store,Ras Al Khaimah,Unnamed Road - Al Dhait - الظيت الجنوبي - Ras Al Khaimah - United Arab Emirates,+971 50 320 3273,info@ace-me.com,4.7,18,No,2026-03-01
ALFA SPORTS,airsoft supply shop,Sporting goods store,Ras Al Khaimah,S. T. Group - Al Yayez Building - Kuwait road - Old Town - Ras Al Khaimah - United Arab Emirates,+971 7 233 5396,info@leminar.ae,4.4,27,No,2026-03-01
AL FUJAIRAWI SPORTS LLC,airsoft supply shop,,Fujairah,Al ‘Uwaid - Fujairah - United Arab Emirates,+971 52 383 8700,info.mkt@fng.ae,4.6,68,No,2026-03-01
BAHRAIN ALUMINIUM EXTRUSION CO (BALEXCO) (DUBAI BRANCH),aluminium supplier,Aluminum supplier,Dubai,"Bur Dubai, Nr - Al Rolla Rd - Dubai - United Arab Emirates",+971 50 642 8367,balexco@emirates.net.ae,4.0,3,No,2026-03-01
Mercury Aluminium,aluminium supplier,Aluminum supplier,Dubai,Dubai Investment Park First - Dubai - United Arab Emirates,+971 4 885 9331,info@arifcouae.com,4.5,6,No,2026-03-01
Reem Emirates Aluminum,aluminium supplier,Manufacturer,Abu Dhabi,"Sector No. M-41, Plot No. 7FR6, 8FR6, ICAD-1, Mussafah - 60 Wajna St - Abu Dhabi - United Arab Emirates",+971 2 599 4200,info@reememirates.ae,4.5,51,No,2026-03-01
Iqra Aluminium & Glass Work & Steel L.L.C,aluminium supplier,Aluminum supplier,Abu Dhabi,Musaffah - M14 - Abu Dhabi - United Arab Emirates,+971 55 359 5937,info@iqraaluminiumandglassworks.com,4.3,55,No,2026-03-01
East Coast Aluminum Factory / Office,aluminium supplier,Construction company,Fujairah,37VH+P7V - Unnamed Road - Fujairah - United Arab Emirates,+971 9 222 5980,cdo@eccp.com,4.8,19,No,2026-03-01
الدولية الالومنيوم والزجاج,aluminium supplier,Aluminum supplier,Fujairah,473G+2VQ - Al Hail - Fujairah - United Arab Emirates,,info.mkt@fng.ae,5.0,1,No,2026-03-01
Al Mijdaf Aluminium Factory LLC,aluminium supplier,Aluminum supplier,Umm Al Quwain,GH42+WPG - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 764 6876,info@almijdaf.com,4.8,4,No,2026-03-01
AL HAMAD ALUMINIUM EXTRUSION FACTORY LLC,aluminium supplier,Manufacturer,Umm Al Quwain,Unnamed Road - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 7177,alhamadx@emirates.net.ae,4.5,8,No,2026-03-01
AL TAQWA ALUMINIUM & GLASS CONT LLC,aluminium window,,Sharjah,Industrial Area 13 - Industrial Area - Sharjah - United Arab Emirates,+971 6 538 4114,taqwallc@emirates.net.ae,4.8,13,No,2026-03-01
AL ALMAS ALUMINUM & GLASS,aluminium window,Aluminum window,Ras Al Khaimah,QX3C+F9V - Al Felyyah - Ras Al Khaimah - United Arab Emirates,+971 50 206 1433,sales@alsalamaluminium.com,5.0,1,No,2026-03-01
العربية للالمنيوم_Al arabiah aluminium,aluminium window,Aluminum window,Ras Al Khaimah,E18 - Al Felyyah - Ras Al Khaimah - United Arab Emirates,+971 55 772 0033,info@alarabialuminium.com,4.3,16,No,2026-03-01
Al thoraya Aluminium,aluminium window,Aluminum window,Ras Al Khaimah,Al Manama - Ras Al Khaimah Rd - Al Felyyah - Ras Al Khaimah - United Arab Emirates,+971 50 411 1831,sales@alsalamaluminium.com,4.7,3,No,2026-03-01
Style Aluminium,aluminium window,Aluminum window,Ras Al Khaimah,QX98+XM8 - near OLD SHEEP MARKE - Al Qussaidat - Ras Al Khaimah - United Arab Emirates,+971 50 627 0862,danarak@emirates.net.ae,4.3,4,No,2026-03-01
Al AHLI ALUMINUM AND GLASS WORK SHOP,aluminium window,,Umm Al Quwain,Al Muqta - Old Industrial - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 711 0760,admin@alahli-aluminium.com,5.0,1,No,2026-03-01
FUN DRIVE فن درايف,amusement center,Amusement center,Fujairah,Al Ghurfah - Fujairah - United Arab Emirates,+971 52 898 0040,fundrive@gulfnews.com,4.3,99,No,2026-03-01
فن لاند,amusement center,Theme park,Fujairah,Al Corniche St - Al Ghurfah - Fujairah - United Arab Emirates,+971 52 828 0008,info.mkt@fng.ae,3.8,19,No,2026-03-01
Darkin Fujairah,amusement center,,Fujairah,Al Faseel - Fujairah - United Arab Emirates,+971 52 192 2226,mail@egov.fujairah.ae,4.5,29,No,2026-03-01
"منطقة المرح ,fun zone",amusement center,Video arcade,Fujairah,49X4+J72 - Al Faseel - Fujairah - United Arab Emirates,,info@funzonedu.com,3.7,9,No,2026-03-01
My Play Zone LLC,amusement center,Children's amusement center,Umm Al Quwain,78 Al Qarayen St - Al Salmah - Al Qraun 2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 54 990 4956,Info@showracksdubai.com,4.3,12,No,2026-03-01
A CAVE,amusement center,Video arcade,Umm Al Quwain,FHVC+4X8 Al siraj street - Al Abraq - Al Nekheila - Emirate of Umm Al Quwain - United Arab Emirates,,info@pinascargo.com,4.5,20,No,2026-03-01
Soul Veterinary Clinic - عيادة سول البيطرية,animal hospital,Veterinarian,Ajman,CGCP+G8 - Al Jerf Industrial 3 - Ajman - United Arab Emirates,+971 54 321 1559,Info@soulvet.ae,4.8,"2,306",No,2026-03-01
RAK Veterinary Center,animal hospital,Veterinarian,Ras Al Khaimah,Near KFC - E11 - Al Dhait - Al Dhait South - Ras Al Khaimah - United Arab Emirates,+971 7 235 1781,info@petsguide.ae,4.1,361,No,2026-03-01
Dr. Jimmy Vet Clinic عيادة د/جيمي البيطرية,animal hospital,,Ras Al Khaimah,Al Dhait - Al Dhait South - Ras Al Khaimah - United Arab Emirates,+971 50 937 4545,hello@petsguide.ae,4.8,264,No,2026-03-01
Pet Care Clinic,animal hospital,Veterinarian,Ras Al Khaimah,47 Al Ghafat Rd - Al Riffa - Ras Al Khaimah - United Arab Emirates,+971 7 243 3378,rakawc@psd.rak.ae,4.7,113,No,2026-03-01
AL-RAYAH AL-BAYDHAA VET. CLINICS - عيادات الراية البيضاء البيطرية -فرع دبا الفجيرة,animal hospital,Veterinarian,Fujairah,Shk. Zayed Bin Sultan Al Nahyan Rd - Al Rifa‘ - Fujairah - United Arab Emirates,+971 56 823 7664,Enquiry@aedhs.com,4.3,72,No,2026-03-01
Shelter,animal shelter,Shelter,Dubai,129 318th Rd - Al Qouz Ind.fourth - Al Quoz - Dubai - United Arab Emirates,,reservation.dubai@mamashelter.com,4.4,12,No,2026-03-01
وادي الدان للمواشي,animal shelter,Livestock dealer,Sharjah,9JJ9+385 Basateen Al Zubair - Hay Aldubdabaah South - Sharjah - United Arab Emirates,+971 50 305 3875,careers@danagas.com,4.9,10,No,2026-03-01
Cats fostering Dubai استضافة قطط,animal shelter,Cat boarding service,Sharjah,Sheikh Khalifa Bin Zayed St - Ajman - United Arab Emirates,+971 56 577 0046,Scads@epaa.shj.ae,4.9,21,No,2026-03-01
عزبة باقرين الحضرمي 2,animal shelter,Animal shelter,Sharjah,Sharjah 12345 - Sharjah - United Arab Emirates,+971 55 576 2555,info@bestindustries.ae,,,No,2026-03-01
rfruae_rescue.foster.rehome,animal shelter,Permanently closed,Ajman,Al Rawda 1 - Ajman - United Arab Emirates,+971 50 702 1416,adopt@rfruae.com,1.0,1,No,2026-03-01
.,animal shelter,Animal shelter,Ras Al Khaimah,Street Number 3 - Old Town - Ras Al Khaimah - United Arab Emirates,,info@rakports.ae,,,No,2026-03-01
Al Mayya Group,animal shelter,Agricultural organization,Fujairah,586W+R8F - Unnamed Road - سكمكم - Fujairah - United Arab Emirates,+971 56 712 7040,Hwagyu@almayyagroup.ae,4.5,13,No,2026-03-01
House Of Pets,animal shelter,Pet store,Fujairah,Al Qasar Road - Al Faseel - Fujairah - United Arab Emirates,+971 9 222 3220,Petshome@eim.ae,4.0,144,No,2026-03-01
Animal Care Centre,animal shelter,Dog day care center,Fujairah,289J+24M - Hay Al Ghail - Sharjah - United Arab Emirates,+971 50 646 7792,Accvet@emirates.net.ae,3.6,15,No,2026-03-01
Fetched,animation studio,Animation studio,Dubai,The Meydan Hotel - Grandstand 6th Floor Al Meydan Rd - Nad Al Sheba - Nad Al Sheba 1 - Dubai - United Arab Emirates,+44 20 4579 3818,info@dogfetched.com,4.9,43,No,2026-03-01
Infamous Studios,animation studio,Video production service,Dubai,Concord Tower - Al Sufouh - Al Sufouh 2 - Dubai - United Arab Emirates,+971 4 422 4353,Info@infamous-studio.com,4.6,21,No,2026-03-01
Qaws Studio,animation studio,Animation studio,Ajman,CHP4+8Q2 Jurf 3 - Al Humaideya Road - Al Jerf Industrial 2 - Ajman - United Arab Emirates,+963 948 587 136,ogba@gjrealestate.ae,5.0,1,No,2026-03-01
Mataflax Media LLC FZC,animation studio,Animation studio,Ajman,1A-0024-031 Flamingo Villas - Ajman - United Arab Emirates,+971 6 546 7444,info@mataflax.com,5.0,1,No,2026-03-01
Antique Boutique,antique shop,Antique furniture store,Dubai,"Danat Al Quoz, Warehouse 1 - Umm Suqeim St - Al Qouz Fourth - Al Quoz - Dubai - United Arab Emirates",+971 52 706 9984,Jd@antikadubai.com,4.8,58,No,2026-03-01
ALSAFI COINS,antique shop,Antique store,Ajman,"D1-2 Ajman Museum,Heritage Village - Ajman - United Arab Emirates",+971 55 310 0059,info@alsafifalcongroup.com,4.3,16,No,2026-03-01
ROKN AL HEWAYAT,antique shop,Antique store,Ajman,"New Industrial Area 2 Ajman Ajman Gate Tower, Office #G4 - Ajman - United Arab Emirates",+971 50 481 7447,info@rabdanauctions.com,4.9,8,No,2026-03-01
تراثيات اجدادي,antique shop,Antique store,Ras Al Khaimah,QWXX+CQ7 - Old Town - Ras Al Khaimah - United Arab Emirates,+971 50 979 1881,onlineshop@kludi.com,4.7,6,No,2026-03-01
Al Afrrah novelties,antique shop,Antique store,Ras Al Khaimah,Sheikh Mohamed Bin Salem Rd - Old Town - Ras Al Khaimah - United Arab Emirates,+971 52 977 6601,info@afrahtobacco.com,5.0,1,No,2026-03-01
Gulf House Sculptures البيت الخليجي للتحف,antique shop,,Ras Al Khaimah,Old Town - Ras Al Khaimah - United Arab Emirates,+971 56 660 9002,ar@wvc.pshs.edu.ph,4.4,5,No,2026-03-01
التاج للتحف والفضة,antique shop,Antique store,Ras Al Khaimah,QWWX+WGW - Sheikh Mohammed bin Salem St - Old Town - Ras Al Khaimah - United Arab Emirates,,contactus@rakbank.ae,5.0,1,No,2026-03-01
Abu Sultan Pottery & Antiques Gifts Shop,antique shop,Pottery store,Fujairah,"Masafi, Friday Market 2 - Fujairah - United Arab Emirates",+971 50 795 9619,info@tourism.fujairah.ae,3.5,2,No,2026-03-01
